script,manifest,geometry_validation,row_count,missing_fields,status
C2对称结构\双圆盘\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C2对称结构\双圆盘\results\布里渊区折叠\run_test_2026年5月14日_18时26分01秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C2对称结构\双圆盘\results\布里渊区折叠\run_test_2026年5月14日_18时26分01秒\04_logs\geometry_validation.csv,2,,pass
C2对称结构\双柱\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C2对称结构\双柱\results\布里渊区折叠\run_test_2026年5月14日_18时21分55秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C2对称结构\双柱\results\布里渊区折叠\run_test_2026年5月14日_18时21分55秒\04_logs\geometry_validation.csv,1,,pass
C2对称结构\双梁\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C2对称结构\双梁\results\布里渊区折叠\run_test_2026年5月14日_18时22分05秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C2对称结构\双梁\results\布里渊区折叠\run_test_2026年5月14日_18时22分05秒\04_logs\geometry_validation.csv,1,,pass
C2对称结构\双椭圆\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C2对称结构\双椭圆\results\布里渊区折叠\run_test_2026年5月14日_18时22分16秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C2对称结构\双椭圆\results\布里渊区折叠\run_test_2026年5月14日_18时22分16秒\04_logs\geometry_validation.csv,1,,pass
C2对称结构\双脊\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C2对称结构\双脊\results\布里渊区折叠\run_test_2026年5月14日_18时22分26秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C2对称结构\双脊\results\布里渊区折叠\run_test_2026年5月14日_18时22分26秒\04_logs\geometry_validation.csv,1,,pass
C3对称结构\三叶星\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C3对称结构\三叶星\results\布里渊区折叠\run_test_2026年5月14日_18时22分38秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C3对称结构\三叶星\results\布里渊区折叠\run_test_2026年5月14日_18时22分38秒\04_logs\geometry_validation.csv,1,,pass
C3对称结构\三柱簇\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C3对称结构\三柱簇\results\布里渊区折叠\run_test_2026年5月14日_18时22分48秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C3对称结构\三柱簇\results\布里渊区折叠\run_test_2026年5月14日_18时22分48秒\04_logs\geometry_validation.csv,1,,pass
C3对称结构\三裂缝环\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C3对称结构\三裂缝环\results\布里渊区折叠\run_test_2026年5月14日_18时22分58秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C3对称结构\三裂缝环\results\布里渊区折叠\run_test_2026年5月14日_18时22分58秒\04_logs\geometry_validation.csv,1,,pass
C4对称结构\十字\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C4对称结构\十字\results\布里渊区折叠\run_test_2026年5月14日_18时23分08秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C4对称结构\十字\results\布里渊区折叠\run_test_2026年5月14日_18时23分08秒\04_logs\geometry_validation.csv,1,,pass
C4对称结构\四孔方块\coding\布里渊区折叠\run_fdtd_brillouin_zone_folding_sweep.py,H:\FDTD outcome\struct\群论_struct\C4对称结构\四孔方块\results\布里渊区折叠\run_test_2026年5月14日_18时23分19秒\04_logs\manifest.csv,H:\FDTD outcome\struct\群论_struct\C4对称结构\四孔方块\results\布里渊区折叠\run_test_2026年5月14日_18时23分19秒\04_logs\geometry_validation.csv,1,,pass
